text1,text2,Similarity Score
viewers to be able to shape tv imagine editing titanic down to watch just your favourite bits or cutting out the slushier moments of star wars to leave you with a bare bones action-fest.  manipulating your favourite films to make a more personalised movie is just the beginning of an ambitious new 7.5m euro (£5.1m) project funded by the european union. new media for a new millennium (nm2) will have as its endgame the development of a completely new media genre  which will allow audiences to create their own media worlds based on their specific interests or tastes. viewers will be able to participate in storylines  manipulate plots and even the sets and props of tv shows. bt is one of 13 partners involved in the project. it will be contributing software that was originally designed to spot anomalies in cctv pictures. the software uses content recognition algorithms. the three-year project will work on seven productions as it develops a set of software tools that will allow viewers to edit content to their needs.  one of the productions will be a experimental television show where the plot will be driven by text messages from the tv audience.  participants will text selected words which will impact how the characters in the drama interact. it is being developed in finland and will be shown to finnish tv audiences. another team will work on the bbc s big budget drama of mervyn peake s gothic fantasy gormenghast. it will be re-engineered to allow people to choose a variety of edited versions.  the bbc is allowing us access to the material so that we can prove the technology and the principles   explained dr doug williams of bt  who will be nm2 s technical project manager.  the tv at the moment is a relatively dumb box which receives signals. this project is about teaching the machine to look at content like lego blocks that can be reassembled to make perfect sense   he said.  at the moment we have interactive gaming and a limited form of interactive tv which usually means allowing audiences to vote on shows. we are hoping to occupy the space in-between   he added.  nm2 s co-ordinator peter stollenmayer explained that the new genre would radically alter the role of the audience.   viewers will be able to interact directly with the medium and influence what they see and hear according to their personal tastes and wishes   he said.  media users will no longer be passive viewers but become active engagers.  it will also be important that the tools are sophisticated enough to obey the complex rules of cinematography and editing said john wyver  from tv producer illuminations television limited  which is also involved in the project.  it s not just a matter of stringing together the romantic or action portions of a production   said mr wyver.  the tool has to know which bits fit together both visually  by observing the time-honoured rules that go in editing  and in terms of the story.   only then will the personalised version both make sense and be aesthetically pleasing   he added. mr wyver is planning a production entitled the golden age  about renaissance art. it will allow viewers to create a so-called media world based on their own specific areas of interest such as poetry  music and architecture. other productions that the nm2 team will make range from news  documentaries to a romantic comedy drama.,stars pay tribute to actor davis hollywood stars including spike lee  burt reynolds and oscar nominee alan alda have paid tribute to actor ossie davis at a funeral in new york.  veteran star ossie davis  a well-known civil rights activist  died in miami at the age of 87 on 4 february 2005. friends and family  including actress ruby dee his wife of 56 years  gathered at the riverside church on saturday. also present at the service was former us president bill clinton and singer harry belafonte  who gave the eulogy.  he would have been a very good president of the united states   said mr clinton.  like most of you here  he gave more to me than i gave to him.   the 87-year-old was found dead last weekend in his hotel room in florida  where he was making a film. police said that he appeared to have died of natural causes. davis made his acting debut in 1950 in no way out starring sidney poiter. he frequently collaborated with director spike lee  starring in seven lee films including jungle fever  do the right thing and malcolm x. attallah shabazz  the daughter of activist malcolm x  recalled the famous eulogy delivered by davis at her father s funeral.  harlem has come to bid farewell to one of its finest hopes   she said  quoting the man she knew as uncle ossie.  ditto.   ossie was my hero  and he still is   said aviator star alan alda  a family friend for over forty years.  ossie was a thing of beauty.    i want so badly someday to have his dignity - a little of it anyway   added burt reynolds  davis s co-star in the 90s tv comedy evening shade. before the midday funeral  scores of harlem residents formed a queue outside the church to pay their respects to davis.  it is hard to fathom that we will no longer be able to call on his wisdom  his humour  his loyalty and his moral strength to guide us in the choices that are yet to be made and the battles that are yet to be fought   said belafonte  himself an ardent civil rights activist who had been friends with davis for over 60 years.  but how fortunate we were to have him as long as we did.,0.58
lasers help bridge network gaps an indian telecommunications firm has turned to lasers to help it overcome the problems of setting up voice and data networks in the country.  tata teleservices is using the lasers to make the link between customers  offices and its own core network. the laser bridges work across distances up to 4km and can be set up much faster than cable connections. in 12 months the lasers have helped the firm set up networks in more than 700 locations.   in this particular geography getting permission to dig the ground and lay the pipes is a bit of a task   said mr r. sridharan  vice president of networks at tata.  heavy traffic and the layout under the ground mean that digging is uniquely difficult   he said. in some locations  he said  permission to dig up roads and lay cables was impossible to get. he said it was far easier to secure permission for putting networking hardware on roofs. this has led chennai-based tata to turn to equipment that uses lasers to make the final mile leap between tata s core network and the premises of customers. the lightpointe laser bridges work over distances of up to 4km and are being used to route both voice and data from businesses on to the backbone of the network. the hardware works in pairs and beam data through the air in the form of laser pulses.  the laser bridges can route data at speeds up to 1.25gbps (2 000 times faster than a 512kbps broadband connection) but tata is running its hardware at more modest speeds of 1-2mbps. the lasers are also ideal for india because of its climate.  it s particularly suitable as the rain rate is a little low and it s hardly ever foggy   he said. in places where rain is heavy and fog is common laser links can struggle to maintain good connection speeds. the laser links also take far less time to set up and get working  said mr sridharan.  once we get the other permissions  normal time period for set up is a few hours   he said. by contrast  he said  digging up roads and laying cables can take weeks or months. this speed of set up has helped tata with its aggressive expansion plans. just over 12 months ago the firm had customers in only about 70 towns and cities. but by the end of march the firm hopes to reach more than 1 000.  speed is very important because of the pace of competition   said mr sridharan.,labour attacked on howard poster labour has been accused of using anti-semitic images in posters which critics claim depict tory leader michael howard as fagin.  the poster shows mr howard hypnotising people with a pocket watch  saying:  i can spend the same money twice.  the image prompted concern from the editor of the jewish chronicle but labour insists it is simply anti-tory. labour later took the image off its website  saying an alternative idea had proved more popular with party members. the party will now use focus groups to test a poster showing mr howard and shadow chancellor oliver letwin with a blackboard reading:  2+2=5 .  the hypnotism poster has been compared to the portrayal of the dickens character fagin in the stage version of the musical oliver! there was controversy over another poster choice offered to labour members. it showed mr howard and mr letwin - who are both jewish - as flying pigs. mr howard did not comment on the anti-semitism claims when asked about the poster on monday. instead  he pointed to how tony blair had in 1997 complained about  personalised abusive campaigning . mr howard told greater manchester radio:  it is such a pity that mr blair doesn t practise what he preaches.   jewish chronicle editor ned temko said there had been a mixed reaction to the first poster but e-mails from jewish chronicle readers showed deeper concern about the hypnotism image.  shylock and fagin are inextricably linked to notions of centuries-old prejudice   he told bbc radio 4 s world at one.  whatever the idea is  i think it s a difficult exercise to use images like that and to argue that you can divorce them from their historical context or meaning.  mr temko said he blamed  cock-up not conspiracy   saying he did not detect inherent anti-semitism in any of the parties  election campaigns.  the poster is among one of a series of ideas shown to labour members  who have been asked to choose which one should be used ahead of the election. labour mp louise ellman said the hypnotism image was insensitive but urged people not to rush to call things anti-semitic when they only challenged tory economic policies. labour campaign spokesman fraser kemp said the poster had been misunderstood. the image simply portrayed mr howard as a hypnotist  he argued.  concern has been expressed and clearly we have to take those views on board but i would emphasise that if you see the posters  the common theme... is that the tories are trying to con you.  a labour spokesman later said the timing of removing the controversial image from the party s website was not affected by the row.  this has been up on the website for two weeks and there has only been a fuss in the last four days so a substantial number of people voted before there was any fuss   he said. but a conservative spokeswoman said:  this poster campaign - which was offensive to many people - was a big misjudgement by labour s campaign team.,0.57
millions buy mp3 players in us one in 10 adult americans - equivalent to 22 million people - owns an mp3 player  according to a survey.  a study by the pew internet and american life project found that mp3 players are the gadget of choice among affluent young americans. the survey did not interview teenagers but it is likely that millions of under-18s also have mp3 players. the american love affair with digital music players has been made possible as more and more homes get broadband.  of the 22 million americans who own mp3 players  59% are men compared to 41% of women. those on high income - judged to be $75 000 (£39 000) or above - are four times more likely to have players than those earning less than $30  000 ( £15 000). broadband access plays a big part in ownership too. almost a quarter of those with broadband at home have players  compared to 9% of those who have dial-up access. mp3 players are still the gadget of choice for younger adults. almost one in five us citizens aged under 30 have one. this compares to 14% of those aged 30-39 and 14% of those aged 40-48. the influence of children also plays a part. sixteen percent of parents living with children under 18 have digital players compared to 9% of those who don t. the ease of use and growth of music available on the net are the main factors for the upsurge in ownership  the survey found. people are beginning to use them as instruments of social activity - sharing songs and taking part in podcasting - the survey found.  ipods and mp3 players are becoming a mainstream technology for consumers  said lee rainie  director of the pew internet and american life project.  more growth in the market is inevitable as new devices become available  as new players enter the market  and as new social uses for ipods/mp3 players become popular   he added.,stars pay tribute to actor davis hollywood stars including spike lee  burt reynolds and oscar nominee alan alda have paid tribute to actor ossie davis at a funeral in new york.  veteran star ossie davis  a well-known civil rights activist  died in miami at the age of 87 on 4 february 2005. friends and family  including actress ruby dee his wife of 56 years  gathered at the riverside church on saturday. also present at the service was former us president bill clinton and singer harry belafonte  who gave the eulogy.  he would have been a very good president of the united states   said mr clinton.  like most of you here  he gave more to me than i gave to him.   the 87-year-old was found dead last weekend in his hotel room in florida  where he was making a film. police said that he appeared to have died of natural causes. davis made his acting debut in 1950 in no way out starring sidney poiter. he frequently collaborated with director spike lee  starring in seven lee films including jungle fever  do the right thing and malcolm x. attallah shabazz  the daughter of activist malcolm x  recalled the famous eulogy delivered by davis at her father s funeral.  harlem has come to bid farewell to one of its finest hopes   she said  quoting the man she knew as uncle ossie.  ditto.   ossie was my hero  and he still is   said aviator star alan alda  a family friend for over forty years.  ossie was a thing of beauty.    i want so badly someday to have his dignity - a little of it anyway   added burt reynolds  davis s co-star in the 90s tv comedy evening shade. before the midday funeral  scores of harlem residents formed a queue outside the church to pay their respects to davis.  it is hard to fathom that we will no longer be able to call on his wisdom  his humour  his loyalty and his moral strength to guide us in the choices that are yet to be made and the battles that are yet to be fought   said belafonte  himself an ardent civil rights activist who had been friends with davis for over 60 years.  but how fortunate we were to have him as long as we did.,0.63
winter freeze keeps oil above $50 oil prices carried on rising on wednesday after cold weather on both sides of the north atlantic pushed us crude prices to four-month highs.  freezing temperatures and heavy snowfalls took crude oil prices past $50 a barrel on tuesday for the first time since november. declines in the dollar have also contributed to the rising oil price. us crude was trading at $51.39 at 0710 gmt in asian electronic trade on wednesday. a barrel of us crude oil closed up $2.80 at $51.15 in new york on tuesday. opec members said on tuesday that  given such high prices  the cartel saw no reason to cut its output.  although below last year s peak of $55.67 a barrel  which was reached in october  prices are now well above 2004 s average of $41.48. brent crude also rose in london trading  adding $1.89 to $48.62 at the close.  much of western europe and the north east of america has been shivering under unseasonably low temperatures in recent days. the decline in the us dollar to a five-week low against the euro has also served to inflate prices.  the primary factor is the weak dollar   said victor shum  a singapore-based analyst with purvin and gertz. expectations that a rebound in the dollar would halt the oil price rise were not immediately borne out on wednesday morning  as oil prices carried on upwards as the dollar strengthened against the euro  the pound and the yen.  several opec members said on tuesday that a cut in production was unlikely  citing rising prices and strong demand for oil from asia.  i agree that we do not need to cut supply if the prices are as much as this   fathi bin shatwan  libya s oil minister  told reuters.  i do not think we need to cut unless the prices are falling below $35 a barrel   he added.,microsoft debuts security tools microsoft is releasing tools that clean up pcs harbouring viruses and spyware.  the virus-fighting program will be updated monthly and is a precursor to microsoft releasing dedicated anti-virus software. also being released is a software utility that will help users find and remove any spyware on their home computer. although initially free it is thought that soon microsoft will be charging users for the anti-spyware tool.  the anti-spyware tool is available now and the anti-virus utility is expected to be available later this month. microsoft s windows operating system has long been a favourite of people who write computer viruses because it is so ubiquitous and has many loopholes that can be exploited. it has proved such a tempting target that there are now thought to be more than 100 000 viruses and other malicious programs in existence. latest research suggests that new variants of viruses are being cranked out at a rate of up to 200 per week. spyware is surreptitious software that sneaks on to home computers  often without users  knowledge. in its most benign form it just bombards users with pop-up adverts or hijacks web browser settings. the most malicious forms steal confidential information or log every keystroke that users make. surveys have shown that most pcs are infested with spyware. research by technology firms earthlink and webroot revealed that 90% of windows machine have the malicious software on board and  on average  each one harbours 28 separate spyware programs. before now microsoft has left the market for pc security software to specialist firms such as symantec  mcafee  trend micro and many others. it said that its virus cleaning program would not stop machines being infected nor remove the need for other anti-virus programs. on spyware freely available programs such as ad-aware and spybot have become widely used by people keen to keep the latest variants at bay. microsoft s two security tools have emerged as a result of acquisitions the company has made over the last two years. in 2003 it bought romanian firm gecad software to get hold of its anti-virus technology. in december 2004 it bought new york-based anti-spyware firm giant company software. last year microsoft also released the sp2 upgrade for windows xp that closed many security loopholes in the software and made it easier for people to manage their anti-virus and firewall programs.,0.65
brown and blair face new rift claims for the umpteenth time  tony blair and gordon brown are said to have declared all out war on each other.  this time the alleged rift is over who should take the credit for the government s global aid and debt initiatives  particularly in the wake of the tsunami disaster - an issue many hoped and believed was above such things. it dominated the prime minister s monthly news conference  which saw mr blair start in full irritation mode as he was forced to bat away question after question about his relationship with his neighbour. as he told journalists:  i am not interested in what goes in and out of newspapers. there is a complete unity of purpose.  and he again heaped praise on mr brown saying he was doing a great job  and would continue doing it - although he would not commit to any job for mr brown after the election.  so why did he arrange his press conference at the last moment so it coincided with mr brown s long-arranged keynote speech on aid and debt  he was asked  by now mr blair had moved from irritation mode to his barely disguised fury setting. he snapped back that the hacks knew very well what the operational reasons were for the timing of his press conference. well  not really  as it happens.  and he repeated what a great man gordon was and how united they were  before again sneering that he took absolutely no notice of what went in and out of the newspapers  preferring to get on with the job of doing the best for the country and the world. although in the next breath he declared:  i get increasingly alarmed by what i read in the newspapers  before catching himself on and quickly adding:  in so far as i read them of course.  he probably had good reason to be alarmed because the newspapers had been full of stories about the claimed open warfare between the two men.  as far as the timing of the prime minister s press conference is concerned  there are two options. the first is that it was a calculated attempt to upstage the chancellor and seize back the initiative on the big issue of the moment. if that is the case it suggests that even the fear of seriously negative newspaper headlines is not enough to stop the squabbling. the second option is that it was an unavoidable coincidence  which would suggest the government has lost its once-famed ability to strictly co-ordinate announcements - through the infamous downing street grid - to avert just such allegations.  either way  the effect was the same - to overshadow the big announcements of government policy on a hugely pertinent issue. and there had been previous suggestions that the new year had started with a fresh outbreak of the warfare between the two men. firstly  the prime minister insisted on wednesday that he had been intimately involved in the development of the proposals to get g8 countries to freeze debt repayments from the tsunami-hit countries. it was claimed he had been embarrassed by the fact that gordon brown appeared to have taken the initiative over the government s response to the disaster while mr blair was still on holiday in egypt.  then  as if to pour fuel on the flames  both men separately spoke about working on tsunami or wider aid and development policy with their cabinet colleagues foreign secretary jack straw  aid minister hilary benn and deputy prime minister john prescott - without mentioning the other. all this came amid fresh claims that mr brown was still seething that he had been excluded from a prominent role in general election planning and had  as a result  started to set out his own platform. the fact that he used an article in the guardian newspaper to set out what he believed  should  be in the manifesto  has embarked on a mini tour of britain to set out his aid plans and will next week visit africa on the same mission - often seen as the prime minister s  turf  - has only added to the impression of rival camps operating entirely independently of each other. the prime minister denied all that as well  repeating his insistence that it was inconceivable the economy and the chancellor would not be at the centre of the election campaign. but the big fear with many on the labour benches now is that  unless a lid can be put on the speculation over the rivalry  it may even threaten to undermine the election campaign itself.,tories reject rethink on axed mp sacked mp howard flight s local conservative association has insisted he will not be its candidate at the general election.  russell tanguay  agent for arundel and south downs tories  said mr flight was ineligible to be a candidate and the association was seeking a substitute. the news comes despite mr flight s allies saying they had enough support to hold a meeting to discuss his fate. mr flight landed in trouble over remarks on tory tax and spending plans. he quit as tory deputy chairman after apparently suggesting the tories planned extra spending cuts - but he wants to continue as an mp.  tory headquarters says he cannot stand as a conservative candidate because he is no longer an approved candidate. mr tanguay backed that view on tuesday  saying:  howard flight is ineligible to stand as a conservative party candidate.  the association is in the process of selecting a new candidate.   but the local tory chairman made similar comments on friday and dissent continues. two local councillors who back mr flight met mr tanguay and the local association s chairman in arundel on tuesday afternoon but did not comment as they left the meeting. mr flight says he will not stand down as a candidate unless his local party instructs him to do so at an extraordinary general meeting (egm). the mp  who is consulting his lawyers  told bbc news:  they selected me and they  if you like  dispose of me or keep me.  mr flight s supporters also say they have the 50 signatures needed to trigger the egm.  at a news conference  mr howard insisted he had played by the party s rules. the tory leader  who argues he is ensuring honesty  said:  we do not say one thing in private and another thing in public.   labour election campaign coordinator alan milburn said the tories were in  turmoil  because mr flight had exposed their hidden plans. the comments were not a  one-off   he said  claiming mr howard and other senior tories were obsessively committed to cutting public spending. liberal democrat chairman matthew taylor said:  whilst i disagree with howard flight s views  it seems extraordinary to sack somebody for telling the truth.   it has also emerged mr howard has suspended slough s constituency conservative association for refusing to deselect its candidate. adrian hilton was abandoned after suggesting the signing of the maastricht treaty  under john major s government  was an act of treason. the catholic herald also highlighted articles he wrote about the role of catholicism in the european union. mr hilton was chosen to fight the seat after the previous candidate  robert oulds  was sacked for being pictured with a range of guns and a hunting knife. slough conservative association has now been placed on  support status  and is being run from conservative campaign headquarters  says a senior party spokesman.  mr hilton on tuesday said he was considering taking legal action against his deposal. he said the local party had only learned of the final decision on the bbc news website on monday evening.  there are people at central office who are behaving like little dictators and seemingly people who are ordinary members are being treated with contempt   he said. the party says it did try to contact the local conservative chairman.,0.81
japan bank shares up on link talk shares of sumitomo mitsui financial (smfg)  and daiwa securities jumped amid speculation that two of japan s biggest financial companies will merge.  financial newspaper nihon keizai shimbun claimed that the firms will join up next year and already have held discussions with japanese regulators. the firms denied that they are about to link up  but said they are examining ways of working more closely together. smfg shares climbed by 2.7% to 717 000  and daiwa added 5.3% to 740 yen.  combining smfg  japan s third-biggest lender  and daiwa  the country s second-largest brokerage firm  would create a company with assets of more than $1 000bn (£537bn). smfg president yoshifumi nishikawa said that the companies needed to bolster their businesses.  both companies need to strengthen retail and other operations   he said  adding that  it s an issue we have in common . daiwa said that  although it is true that the two groups have been engaging in various discussions to enhance cooperation  there are no plans to enter into negotiations to consolidate the two businesses . analysts said that consolidation in japan s financial sector was likely to continue and that it was likely to have a positive impact on earnings.  cross-selling opportunities between banks and brokers are increasing thanks to deregulation  so we can expect the relationship to get even stronger   said heronry nozaki  an analyst at nikkocitigroup. the merger  would be a good move   he added.,satellite mapping aids darfur relief aid workers trying to house  feed and clothe millions of homeless refugees in the sudanese region of darfur are getting a helping hand from advanced mapping technology.  a european consortium of companies and university groups known as respond is working to provide accurate and up to date maps. the aim is to overcome some of the huge logistical challenges in getting supplies to where they are needed. respond is using satellite imagery to produce accurate maps that can be used in the field rapidly.  respond has produced very detailed maps for example for the road networks  for the rivers and for the villages  to more large-scale maps useful for very general planning purposes   said einar bjorgo from unosat  the un satellite mapping organisation that is part of the respond consortium.  the group uses satellites from nasa  the european space agency and the disaster monitoring constellation. the satellite data is transmitted to ground stations. from there  the information makes its way to respond organisations that specialise in interpreting such data.  you have to convert the data into images  then the interpreter has to convert all this into crisis  damage  or situation maps   said stefan voigt  who works in the remote sensing department of one of those organisations  the german aerospace centre.  this kind of detailed analysis usually takes a couple of months but respond gets it done in about 12 hours.  our users are usually not so much familiar with reading satellite imagery  reading satellite maps  so it s our task to transfer the data into information that non-technical people can read and understand easily and very  very efficiently   said mr voigt. respond supplies maps to aid groups via the web  and on compact disc. but the best map is one you can hold in your hands  especially in remote areas where internet connections and laptops are scarce.  a map is a working document   explains herbert hansen of respond s belgian partner keyobs.  you need to use it  you need to write on it  correct  give feedback and so on  so you need paper to write on.  we print maps  we laminate the maps  we encapsulate the maps if needed so you can take a shower with the map  it s completely protected.   humanitarian groups in darfur have been making good use of respond s maps. they have come in especially handy during sudan s rainy season  when normally dry riverbeds  or wadis  became flooded.  these wadis had a very small amount of flooding  generally  in terms of depth  but greatly impeded the transport capabilities and capacities of the humanitarian groups on the ground   says stephen candillon of respond imaging partner sertit. respond s rapid imaging has allowed aid groups to find ways around the wadis  allowing then to mark on their maps which roads were washed out at which times. aid groups say that combination of satellite technology and on-the-ground observation helped keep relief flowing to those who needed it.  clark boyd is technology correspondent for the world  a bbc world service and wgbh-boston co-production,0.57
t-mobile bets on  pocket office  t-mobile has launched its latest  pocket office  third-generation (3g) device which also has built-in wi-fi - high-speed wireless net access.  unlike other devices where the user has to check which high-speed network is available to transfer data  the device selects the fastest one itself. the mda iv  released in the summer  is an upgrade to the company s existing smartphone  the 2.5g/wi-fi mda iii. it reflects the push by mobile firms for devices that are like mini laptops. the device has a display that can be swivelled and angled so it can be used like a small computer  or as a conventional clamshell phone. the microsoft mobile phone  with two cameras and a qwerty keyboard  reflects the design of similar all-in-one models released this year  such as motorola s mpx.  one in five european workers are already mobile - meaning they spend significant time travelling and out of the office   rene obermann  t-mobile s chief executive  told a press conference at the 3gsm trade show in cannes. he added:  what they need is their office when they are out of the office.  t-mobile said it was seeing increasing take up for what it calls  office in a pocket  devices  with 100 000 mdas sold in europe already.  in response to demand  t-mobile also said it would be adding the latest phone-shaped blackberry to its mobile range. reflecting the growing need to be connected outside the office  it announced it would introduce a flat-fee £20 ($38) a month wi-fi tariff for people in the uk using its wi-fi hotspots. it said it would nearly double the number of its hotspots - places where wi-fi access is available - globally from 12 300 to 20 000.  it also announced it was installing high-speed wi-fi on certain train services  such as the uk s london to brighton service  to provide commuters a fast net connection too. the service  which has been developed with southern trains  nomad digital (who provide the technology)  begins with a free trial on 16 trains on the route from early march to the end of april. a full service is set to follow in the summer. wi-fi access points will be connected to a wimax wireless network - faster than wi-fi - running alongside the train tracks. brian mcbride  managing director of t-mobile in the uk  said:  we see a growing trend for business users needing to access e-mail securely on the move.   we are able to offer this by maintaining a constant data session for the entire journey.  he said this was something other similar in-train wi-fi services  such as that offered on gner trains  did not offer yet. mr obermann added that the mobile industry in general was still growing  with many more opportunities for more services which would bear fruit for mobile companies in future. thousands of mobile industry experts are gathered in cannes  france  for the 3gsm which runs from 14 to 17 february.,top gig award for scissor sisters new york band scissor sisters have won a gig of the year award for their performance at this year s v festival.  the award was voted for by listeners of virgin radio  which compiled a top 10 which was mostly dominated by newcomers on the music scene this year. the quirky disco-rock band beat the red hot chili peppers who came second for their hyde park performance in june. virgin radio dj pete mitchell said:  this year has seen an amazing array of talent come into the mainstream.  he added:  the scissor sisters are one of the most original  eccentric bands to come through and it s no surprise the british public are lapping up their performances.  newcomers keane came in third place for their august gig at the v festival  followed by maroon 5 and snow patrol.  music veterans the who and david bowie  both earned places on the list  at number eight and 10 respectively. at number seven was oxfam s make fair trade gig at london s hammersmith apollo in october  which featured performances by rem  razorlight and coldplay s chris martin. glasgow s franz ferdinand earned a place at number nine for their home-town performance in april. the annual survey was voted for by nearly 4 000 listeners.,0.69
hewitt falls to dent lleyton hewitt suffered a shock defeat to taylor dent in the quarter-finals of the australian hardcourt championships in adelaide on friday.  the top seed was a strong favourite for the title but went down 7-6 (7-4) 6-3 to the american. dent will face juan ignacio chela next after the fourth seed was too strong for jurgen melzer. olivier rochus beat third seed nicolas kiefer 6-7 (4-7) 7-6 (8-6) 7-5 and will take on second seed joachim johansson. the swede reached the last four by beating compatriot thomas enqvist 6-3 4-6 6-1.  i felt like i was striking the ball much better   said johansson.  i felt like i had a lot of break chances  i didn t take care of them all  but i broke him four times and he only broke me once.  i felt that was the key to get up in the set early.,crude oil prices back above $50 cold weather across parts of the united states and much of europe has pushed us crude oil prices above $50 a barrel for the first time in almost three months.  freezing temperatures and heavy snowfall have increased demand for heating fuel in the us  where stocks are low. fresh falls in the value of the dollar helped carry prices above the $50 mark for the first time since november. a barrel of us crude oil closed up $2.80 to $51.15 in new york on tuesday. opec members said on tuesday that it saw no reason to cut its output.  although below last year s peak of $55.67 a barrel  which was reached in october  prices are now well above 2004 s average of $41.48.  brent crude also rose in london trading  adding $1.89 to $48.62 at the close. much of western europe and the north east of america has been shivering under unseasonably low temperatures in recent days. the decline in the us dollar to a five-week low against the euro has also served to inflate prices.  the dollar moved sharply overnight and oil is following it   said chris furness  senior market strategist at 4cast.  if the dollar continues to weaken  oil will be obviously higher.   several opec members said a cut in production was unlikely  citing rising prices and strong demand for oil from asia.  i agree that we do not need to cut supply if the prices are as much as this   fathi bin shatwan  libya s oil minister  told reuters.  i do not think we need to cut unless the prices are falling below $35 a barrel   he added. opec closely watches global stocks to ensure that there is not an excessive supply in the market. the arrival of spring in the northern hemisphere will focus attention on stockpiles of us crude and gasoline  which are up to 9% higher than at this time last year. heavy stockpiles could help force prices lower when demand eases.,0.66
broadband fuels online expression fast web access is encouraging more people to express themselves online  research suggests.  a quarter of broadband users in britain regularly upload content and have personal sites  according to a report by uk think-tank demos. it said that having an always-on  fast connection is changing the way people use the internet. more than five million households in the uk have broadband and that number is growing fast.  the demos report looked at the impact of broadband on people s net habits. it found that more than half of those with broadband logged on to the web before breakfast. one in five even admitted to getting up in the middle of the night to browse the web.  more significantly  argues the report  broadband is encouraging people to take a more active role online. it found that one in five post something on the net everyday  ranging from comments or opinions on sites to uploading photographs.  broadband is putting the  me  in media as it shifts power from institutions and into the hands of the individual   said john craig  co-author of the demos report.  from self-diagnosis to online education  broadband creates social innovation that moves the debate beyond simple questions of access and speed.  the demos report  entitled broadband britain: the end of asymmetry   was commissioned by net provider aol.  broadband is moving the perception of the internet as a piece of technology to an integral part of home life in the uk   said karen thomson  chief executive of aol uk   with many people spending time on their computers as automatically as they might switch on the television or radio.  according to analysts nielsen//netratings  more than 50% of the 22.8 million uk net users regularly accessing the web from home each month are logging on at high speed they spend twice as long online than people on dial-up connections  viewing an average of 1 444 pages per month. the popularity of fast net access is growing  partly fuelled by fierce competition over prices and services.,security warning over  fbi virus  the us federal bureau of investigation is warning that a computer virus is being spread via e-mails that purport to be from the fbi.  the e-mails show that they have come from an fbi.gov address and tell recipients that they have accessed illegal websites. the messages warn that their internet use has been monitored by the fbi s internet fraud complaint center. an attachment in the e-mail contains the virus  the fbi said. the message asks recipients to click on the attachment and answer some questions about their internet use. but rather than being a questionnaire  the attachment contains a virus that infects the recipient s computer  according to the agency. it is not clear what the virus does once it has infected a computer. users are warned never to open attachment from unsolicited e-mails or from people they do not know.   recipients of this or similar solicitations should know that the fbi does not engage in the practice of sending unsolicited e-mails to the public in this manner   the fbi said in a statement. the bureau is investigating the phoney e-mails. the agency earlier this month shut down fbi.gov accounts  used to communicate with the public  because of a security breach. a spokeswoman said the two incidents appear to be unrelated.,0.50
spam e-mails tempt net shoppers computer users across the world continue to ignore security warnings about spam e-mails and are being lured into buying goods  a report suggests.  more than a quarter have bought software through spam e-mails and 24% have bought clothes or jewellery. as well as profiting from selling goods or services and driving advertising traffic  organised crime rings can use spam to glean personal information. the business software alliance (bsa) warned that people should  stay alert .  many online consumers don t consider the true motives of spammers   said mike newton  a spokesperson for the bsa which commissioned the survey.   by selling software that appears to be legitimate in genuine looking packaging or through sophisticated websites  spammers are hiding spyware without consumers  knowledge.  once the software is installed on pcs and networks  information that is given over the internet can be obtained and abused.   the results also showed that the proportion of people reading - or admitting to reading - and taking advantage of adult entertainment spam e-mails is low  at one in 10. the research  which covered 6 000 people in six countries and their attitudes towards junk e-mails  revealed that brazilians were the most likely to read spam. a third of them read unsolicited junk e-mail and 66% buy goods or services after receiving spam.  the french were the second most likely to buy something (48%)  with 44% of britons taking advantage of products and services. this was despite 38% of people in all countries being worried about their net security because of the amount of spam they get. more than a third of respondents said they were concerned that spam e-mails contained viruses or programs that attempted to collect personal information.  both industry and the media have helped to raise awareness of the issues that surround illegitimate e-mail  helping to reduce the potential financial damage and nuisance from phishing attacks and spoof websites   said william plante  director of corporate security and fraud protection at security firm symantec.  at the same time  consumers need to continue exercising caution and protect themselves from harm with a mixture of spam filters  spyware detection software and sound judgement.,call to save manufacturing jobs the trades union congress (tuc) is calling on the government to stem job losses in manufacturing firms by reviewing the help it gives companies.  the tuc said in its submission before the budget that action is needed because of 105 000 jobs lost from the sector over the last year. it calls for better pensions  child care provision and decent wages. the 36-page submission also urges the government to examine support other european countries provide to industry. tuc general secretary brendan barber called for  a commitment to policies that will make a real difference to the lives of working people.    greater investment in childcare strategies and the people delivering that childcare will increases the options available to working parents   he said.  a commitment to our public services and manufacturing sector ensures that we can continue to compete on a global level and deliver the frontline services that this country needs.  he also called for  practical measures  to help pensioners  especially women who he said  are most likely to retire in poverty . the submission also calls for decent wages and training for people working in the manufacturing sector.,0.68
